,substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,ligand,PRODUCT,isolated_yield,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,scheme_table,review,Mechanism,substrate_class,coupling_partner_class,reaction_condition
165,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,55,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.2,2.0,Table 3,article,cadiot,ethynylmethylbenzene,acetylene,N2
166,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,33,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.1,2.0,Table 3,article,cadiot,ethynylmethylbenzene,acetylene,N2
167,COC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],OC(C1CCCN1)=O,COC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,43,https://doi.org/10.1016/j.mcat.2017.07.021,scope,1.2,1.0,0.2,0.1,2.0,Table 4,article,cadiot,ethynylmethylbenzene,acetylene,N2
173,C#CC1=CC=CC=C1,BrC#CC1=CC=C(C)C=C1,CCO,24h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,53,https://doi.org/10.1016/j.mcat.2017.07.021,scope,1.2,1.0,0.2,0.1,2.0,Table 4,article,cadiot,aryl acetylene,acetylene,N2
181,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OC(C1CCCN1)=O,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,8,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2
183,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],NCCN,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,12,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2
184,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,75,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2
185,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],C12=CC=C3C(N=CC=C3)=C1N=CC=C2,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,23,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2
186,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,66,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2
187,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],O[C@H]1[C@H](O)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
188,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,60,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
189,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,35,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
190,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,CCN(CC)CC,CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
191,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,CC(C)(C)[O-].[Na+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
192,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,CC(C)(C)[O-].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
193,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[OH-].[Na+]  ,CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
194,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC, [OH-].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
195,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,COC,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,44,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
196,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,COC,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
197,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,COC,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,25,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
198,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,38,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
199,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,31,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
200,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
201,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC1=CC=CC=C1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
202,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC1=CC=CC=C1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,25,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
203,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC1=CC=CC=C1,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,20,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
204,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC(C)(O)C,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,30,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
205,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC(C)(O)C,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,20,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
206,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC(C)(O)C,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
207,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,20,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
208,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
209,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
210,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CN(C=O)C,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
211,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CN(C=O)C,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
212,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CN(C=O)C,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
213,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
214,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
215,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
219,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,40,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
224,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,28,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,1.0,1.0,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
225,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,52,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,1.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
226,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,1.0,Table 2,article,cadiot,aryl acetylene,acetophenone,
227,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,43,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.2,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2
228,C#CC1=CC=CC=C1,BrC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,23,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,aryl acetylene,acetophenone,N2
229,C#CC1=CC=CC=C1,IC1=CC=C([N+]([O-])=O)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=[N+](C(C=C1)=CC=C1C#CC2=CC=CC=C2)[O-],66,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,aryl acetylene,nitrobenzene,N2
230,C#CC1=CC=CC=C1,IC1=CC=CC=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,C1(C#CC2=CC=CC=C2)=CC=CC=C1,54,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,aryl acetylene,benzene,N2
232,C#CC1=CC=CC=C1,IC1=CC=C(C)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,COC2=CC=C(C=C2)C#CC1=CC=CC=C1,52,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,aryl acetylene,toluene,N2
233,C#CC1=CC=CC=C1,IC1=CC=C(C)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,45,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,aryl acetylene,toluene,N2
237,COC1=CC=C(C#C)C=C1,IC1=CC=CC=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,COC2=CC=C(C=C2)C#CC1=CC=CC=C1,48,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,benzene,benzene,N2
238,COC1=CC=C(C#C)C=C1,IC1=CC=C(C)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1,54,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,benzene,toluene,N2
239,CC1=CC=C(C#C)C=C1,IC1=CC=CC=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,43,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,ethynylmethylbenzene,benzene,N2
240,CC1=CC=C(C#C)C=C1,IC1=CC=C(OC)C=C1,O1CCOCC1,48h,125.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1,61,https://doi.org/10.1016/j.tetlet.2015.08.027,scope,1.0,1.1,0.05,0.1,2.0,Table 3,article,cadiot,ethynylmethylbenzene,toluene,N2
246,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,92,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.1,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
247,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],NCCN,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
248,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],C12=CC=C3C(N=CC=C3)=C1N=CC=C2,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.3,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
249,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.4,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
250,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OC(C1CCCN1)=O,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,38,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.5,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
251,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OC2=CC=CC1=CC=CN=C12,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,47,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.6,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
252,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OCCO,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,10,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.7,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
253,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],O[C@H]1[C@H](O)CCCC1,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,15,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.8,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
254,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,CC(C)(C)[O-].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
255,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,17,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
256,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC, [OH-].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,52,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
257,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,24,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
259,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80.0,CC[Zn]CC,CCN(CC)CC,CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
260,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,CC#N,48h,80.0,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,83,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2
